,Length of Human Path,Length of Shortest Path,Ratio of Human to Shortest Path
166,5,5.0,1.0
167,5,5.0,1.0
168,6,5.0,1.2
169,5,5.0,1.0
170,5,5.0,1.0
171,11,5.0,2.2
172,6,5.0,1.2
173,5,5.0,1.0
174,6,5.0,1.2
175,5,5.0,1.0
176,8,5.0,1.6
177,5,5.0,1.0
178,6,5.0,1.2
179,5,5.0,1.0
180,12,5.0,2.4
181,6,5.0,1.2
182,5,5.0,1.0
183,5,5.0,1.0
184,7,5.0,1.4
185,7,5.0,1.4
186,5,5.0,1.0
187,5,5.0,1.0
188,7,5.0,1.4
189,5,5.0,1.0
190,5,5.0,1.0
191,8,5.0,1.6
192,5,5.0,1.0
193,5,5.0,1.0
194,5,5.0,1.0
195,5,5.0,1.0
196,5,5.0,1.0
197,10,5.0,2.0
198,15,5.0,3.0
199,5,5.0,1.0
200,5,5.0,1.0
201,7,5.0,1.4
202,10,6.0,1.6666666666666667
203,10,6.0,1.6666666666666667
204,3,3.0,1.0
205,5,3.0,1.6666666666666667
206,4,3.0,1.3333333333333333
207,8,3.0,2.6666666666666665
208,5,3.0,1.6666666666666667
209,5,3.0,1.6666666666666667
210,4,3.0,1.3333333333333333
211,5,3.0,1.6666666666666667
212,4,3.0,1.3333333333333333
213,4,3.0,1.3333333333333333
214,3,3.0,1.0
215,5,3.0,1.6666666666666667
216,5,3.0,1.6666666666666667
217,4,3.0,1.3333333333333333
218,4,3.0,1.3333333333333333
219,6,3.0,2.0
220,4,3.0,1.3333333333333333
221,4,3.0,1.3333333333333333
222,4,3.0,1.3333333333333333
223,3,3.0,1.0
224,4,3.0,1.3333333333333333
225,4,3.0,1.3333333333333333
226,4,3.0,1.3333333333333333
227,3,3.0,1.0
228,3,3.0,1.0
229,5,3.0,1.6666666666666667
230,4,3.0,1.3333333333333333
231,5,3.0,1.6666666666666667
232,5,3.0,1.6666666666666667
233,4,3.0,1.3333333333333333
234,3,3.0,1.0
235,4,3.0,1.3333333333333333
236,5,3.0,1.6666666666666667
237,6,3.0,2.0
238,3,3.0,1.0
239,4,3.0,1.3333333333333333
240,5,3.0,1.6666666666666667
241,3,3.0,1.0
242,4,3.0,1.3333333333333333
243,3,3.0,1.0
244,5,3.0,1.6666666666666667
245,4,3.0,1.3333333333333333
246,4,3.0,1.3333333333333333
247,3,3.0,1.0
248,5,2.0,2.5
249,5,4.0,1.25
250,2,2.0,1.0
251,5,4.0,1.25
252,5,4.0,1.25
253,19,4.0,4.75
254,12,4.0,3.0
255,5,4.0,1.25
256,5,4.0,1.25
257,10,4.0,2.5
258,6,4.0,1.5
259,6,4.0,1.5
260,7,4.0,1.75
261,4,4.0,1.0
262,5,4.0,1.25
263,5,4.0,1.25
264,5,4.0,1.25
265,5,4.0,1.25
266,6,4.0,1.5
267,10,4.0,2.5
268,5,4.0,1.25
269,5,4.0,1.25
270,7,4.0,1.75
271,6,4.0,1.5
272,6,3.0,2.0
273,17,3.0,5.666666666666667
274,3,3.0,1.0
275,10,3.0,3.3333333333333335
276,4,3.0,1.3333333333333333
277,5,3.0,1.6666666666666667
278,4,3.0,1.3333333333333333
279,6,3.0,2.0
280,3,3.0,1.0
281,3,3.0,1.0
282,10,3.0,3.3333333333333335
283,5,3.0,1.6666666666666667
284,6,3.0,2.0
285,5,3.0,1.6666666666666667
286,5,3.0,1.6666666666666667
287,7,3.0,2.3333333333333335
288,5,3.0,1.6666666666666667
289,7,3.0,2.3333333333333335
290,7,3.0,2.3333333333333335
291,4,3.0,1.3333333333333333
292,3,3.0,1.0
293,4,3.0,1.3333333333333333
294,7,4.0,1.75
295,8,4.0,2.0
296,2,2.0,1.0
297,8,4.0,2.0
298,6,4.0,1.5
299,9,4.0,2.25
300,11,4.0,2.75
301,5,4.0,1.25
302,3,3.0,1.0
303,5,4.0,1.25
304,7,4.0,1.75
305,4,4.0,1.0
306,6,4.0,1.5
307,4,3.0,1.3333333333333333
308,5,4.0,1.25
309,4,4.0,1.0
310,5,4.0,1.25
311,7,4.0,1.75
312,3,3.0,1.0
313,2,2.0,1.0
314,6,4.0,1.5
315,5,4.0,1.25
316,4,4.0,1.0
317,15,4.0,3.75
318,8,4.0,2.0
319,5,4.0,1.25
320,5,4.0,1.25
321,9,4.0,2.25
322,5,4.0,1.25
323,7,4.0,1.75
324,5,4.0,1.25
325,8,4.0,2.0
326,6,4.0,1.5
327,7,4.0,1.75
328,7,5.0,1.4
329,2,2.0,1.0
330,2,2.0,1.0
331,2,2.0,1.0
332,4,3.0,1.3333333333333333
333,3,2.0,1.5
334,4,3.0,1.3333333333333333
335,4,4.0,1.0
336,5,4.0,1.25
337,5,4.0,1.25
338,8,4.0,2.0
339,4,4.0,1.0
340,4,4.0,1.0
341,5,4.0,1.25
342,4,4.0,1.0
343,4,4.0,1.0
344,6,4.0,1.5
345,5,4.0,1.25
346,5,4.0,1.25
347,11,4.0,2.75
348,7,4.0,1.75
349,4,4.0,1.0
350,5,4.0,1.25
351,5,4.0,1.25
352,6,3.0,2.0
353,5,3.0,1.6666666666666667
354,3,3.0,1.0
355,4,3.0,1.3333333333333333
356,5,3.0,1.6666666666666667
357,3,3.0,1.0
358,4,3.0,1.3333333333333333
359,4,3.0,1.3333333333333333
360,5,3.0,1.6666666666666667
361,8,3.0,2.6666666666666665
362,4,3.0,1.3333333333333333
363,4,3.0,1.3333333333333333
364,3,3.0,1.0
365,3,3.0,1.0
366,7,3.0,2.3333333333333335
367,9,3.0,3.0
368,5,3.0,1.6666666666666667
369,14,3.0,4.666666666666667
370,4,3.0,1.3333333333333333
371,4,3.0,1.3333333333333333
372,4,3.0,1.3333333333333333
373,4,3.0,1.3333333333333333
374,3,3.0,1.0
375,7,4.0,1.75
376,4,4.0,1.0
377,6,4.0,1.5
378,6,4.0,1.5
379,7,4.0,1.75
380,6,4.0,1.5
381,6,4.0,1.5
382,6,4.0,1.5
383,6,4.0,1.5
384,7,4.0,1.75
385,8,3.0,2.6666666666666665
386,3,3.0,1.0
387,4,3.0,1.3333333333333333
388,5,4.0,1.25
389,4,4.0,1.0
390,3,3.0,1.0
391,4,3.0,1.3333333333333333
392,3,3.0,1.0
393,9,4.0,2.25
394,7,4.0,1.75
395,4,4.0,1.0
396,4,4.0,1.0
397,6,4.0,1.5
398,5,3.0,1.6666666666666667
399,5,3.0,1.6666666666666667
400,3,3.0,1.0
401,5,3.0,1.6666666666666667
402,7,3.0,2.3333333333333335
403,4,3.0,1.3333333333333333
404,4,3.0,1.3333333333333333
405,4,3.0,1.3333333333333333
406,5,3.0,1.6666666666666667
407,4,3.0,1.3333333333333333
408,6,3.0,2.0
409,5,3.0,1.6666666666666667
410,11,4.0,2.75
411,12,4.0,3.0
412,10,4.0,2.5
413,7,4.0,1.75
414,15,4.0,3.75
415,6,4.0,1.5
416,6,4.0,1.5
417,14,4.0,3.5
418,13,4.0,3.25
419,6,4.0,1.5
420,6,4.0,1.5
421,6,4.0,1.5
422,12,4.0,3.0
423,9,4.0,2.25
424,7,4.0,1.75
425,7,4.0,1.75
426,9,4.0,2.25
427,11,4.0,2.75
428,7,4.0,1.75
429,7,4.0,1.75
430,6,4.0,1.5
431,8,4.0,2.0
432,6,4.0,1.5
433,6,4.0,1.5
434,10,4.0,2.5
435,8,4.0,2.0
436,6,4.0,1.5
437,8,4.0,2.0
438,8,4.0,2.0
439,9,4.0,2.25
440,9,4.0,2.25
441,7,4.0,1.75
442,19,4.0,4.75
443,7,4.0,1.75
444,10,4.0,2.5
445,9,4.0,2.25
446,6,4.0,1.5
447,5,4.0,1.25
448,3,3.0,1.0
449,4,3.0,1.3333333333333333
450,3,3.0,1.0
451,8,3.0,2.6666666666666665
452,5,3.0,1.6666666666666667
453,5,3.0,1.6666666666666667
454,5,3.0,1.6666666666666667
455,7,3.0,2.3333333333333335
456,8,3.0,2.6666666666666665
457,3,3.0,1.0
458,6,3.0,2.0
459,5,3.0,1.6666666666666667
460,3,3.0,1.0
461,4,3.0,1.3333333333333333
462,3,3.0,1.0
463,6,4.0,1.5
464,5,4.0,1.25
465,5,4.0,1.25
466,6,3.0,2.0
467,4,3.0,1.3333333333333333
468,4,3.0,1.3333333333333333
469,7,4.0,1.75
470,7,4.0,1.75
471,7,4.0,1.75
472,5,5.0,1.0
473,3,3.0,1.0
474,6,5.0,1.2
475,5,4.0,1.25
476,7,5.0,1.4
477,7,5.0,1.4
478,8,5.0,1.6
479,7,5.0,1.4
480,6,5.0,1.2
481,4,4.0,1.0
482,7,3.0,2.3333333333333335
483,4,3.0,1.3333333333333333
484,3,3.0,1.0
485,4,3.0,1.3333333333333333
486,7,4.0,1.75
487,6,4.0,1.5
488,7,4.0,1.75
489,13,4.0,3.25
490,10,4.0,2.5
491,11,4.0,2.75
492,12,4.0,3.0
493,11,4.0,2.75
494,8,4.0,2.0
495,9,4.0,2.25
496,7,4.0,1.75
497,5,4.0,1.25
498,6,4.0,1.5
499,10,4.0,2.5
500,8,4.0,2.0
501,7,4.0,1.75
502,8,4.0,2.0
503,8,4.0,2.0
504,8,4.0,2.0
505,21,4.0,5.25
506,8,4.0,2.0
507,8,4.0,2.0
508,6,4.0,1.5
509,7,4.0,1.75
510,11,4.0,2.75
511,12,4.0,3.0
512,8,4.0,2.0
513,8,4.0,2.0
514,7,4.0,1.75
515,8,4.0,2.0
516,6,4.0,1.5
517,6,4.0,1.5
518,6,4.0,1.5
519,6,4.0,1.5
520,7,4.0,1.75
521,9,4.0,2.25
522,7,4.0,1.75
523,9,4.0,2.25
524,12,4.0,3.0
525,9,4.0,2.25
526,6,4.0,1.5
527,7,4.0,1.75
528,5,4.0,1.25
529,8,4.0,2.0
530,5,4.0,1.25
531,4,4.0,1.0
532,4,3.0,1.3333333333333333
533,8,4.0,2.0
534,5,4.0,1.25
535,7,5.0,1.4
536,6,5.0,1.2
537,7,5.0,1.4
538,7,5.0,1.4
539,4,4.0,1.0
540,2,2.0,1.0
541,5,4.0,1.25
542,4,3.0,1.3333333333333333
543,6,3.0,2.0
544,8,3.0,2.6666666666666665
545,8,3.0,2.6666666666666665
546,19,3.0,6.333333333333333
547,12,3.0,4.0
548,9,3.0,3.0
549,4,4.0,1.0
550,5,4.0,1.25
551,8,4.0,2.0
552,7,4.0,1.75
553,7,4.0,1.75
554,5,4.0,1.25
555,7,4.0,1.75
556,7,4.0,1.75
557,5,4.0,1.25
558,5,4.0,1.25
559,7,4.0,1.75
560,7,3.0,2.3333333333333335
561,7,3.0,2.3333333333333335
562,3,3.0,1.0
563,4,3.0,1.3333333333333333
564,4,4.0,1.0
565,4,3.0,1.3333333333333333
566,4,4.0,1.0
567,6,4.0,1.5
568,7,4.0,1.75
569,7,4.0,1.75
570,4,4.0,1.0
571,4,3.0,1.3333333333333333
572,6,4.0,1.5
573,5,3.0,1.6666666666666667
574,5,3.0,1.6666666666666667
575,6,3.0,2.0
576,6,3.0,2.0
577,5,3.0,1.6666666666666667
578,6,3.0,2.0
579,9,3.0,3.0
580,8,3.0,2.6666666666666665
581,8,3.0,2.6666666666666665
582,5,3.0,1.6666666666666667
583,5,5.0,1.0
584,5,5.0,1.0
585,12,5.0,2.4
586,8,5.0,1.6
587,10,4.0,2.5
588,4,3.0,1.3333333333333333
589,4,3.0,1.3333333333333333
590,4,3.0,1.3333333333333333
591,6,3.0,2.0
592,6,3.0,2.0
593,4,3.0,1.3333333333333333
594,3,3.0,1.0
595,4,4.0,1.0
596,6,4.0,1.5
597,6,4.0,1.5
598,5,4.0,1.25
599,7,4.0,1.75
600,5,4.0,1.25
601,9,4.0,2.25
602,6,4.0,1.5
603,5,4.0,1.25
604,5,4.0,1.25
605,7,4.0,1.75
606,10,4.0,2.5
607,4,4.0,1.0
608,6,4.0,1.5
609,8,4.0,2.0
610,4,4.0,1.0
611,6,4.0,1.5
612,4,4.0,1.0
613,5,4.0,1.25
614,5,4.0,1.25
615,13,6.0,2.1666666666666665
616,5,4.0,1.25
617,5,3.0,1.6666666666666667
618,7,6.0,1.1666666666666667
619,12,4.0,3.0
620,5,4.0,1.25
621,8,4.0,2.0
622,6,5.0,1.2
623,5,4.0,1.25
624,8,6.0,1.3333333333333333
625,8,6.0,1.3333333333333333
626,4,4.0,1.0
627,6,5.0,1.2
628,5,4.0,1.25
629,4,4.0,1.0
630,6,4.0,1.5
631,6,4.0,1.5
632,4,3.0,1.3333333333333333
633,5,3.0,1.6666666666666667
634,10,3.0,3.3333333333333335
635,3,3.0,1.0
636,4,4.0,1.0
637,5,4.0,1.25
638,5,3.0,1.6666666666666667
639,5,3.0,1.6666666666666667
640,5,3.0,1.6666666666666667
641,12,3.0,4.0
642,4,3.0,1.3333333333333333
643,4,3.0,1.3333333333333333
644,5,3.0,1.6666666666666667
645,4,3.0,1.3333333333333333
646,2,2.0,1.0
647,6,4.0,1.5
648,6,4.0,1.5
649,8,4.0,2.0
650,6,4.0,1.5
651,6,4.0,1.5
652,7,3.0,2.3333333333333335
653,5,3.0,1.6666666666666667
654,3,3.0,1.0
655,4,3.0,1.3333333333333333
656,5,4.0,1.25
657,5,4.0,1.25
658,5,4.0,1.25
659,6,4.0,1.5
660,5,4.0,1.25
661,5,4.0,1.25
662,4,4.0,1.0
663,7,4.0,1.75
664,8,4.0,2.0
665,10,4.0,2.5
666,7,4.0,1.75
667,5,4.0,1.25
668,4,4.0,1.0
669,6,4.0,1.5
670,6,4.0,1.5
671,4,4.0,1.0
672,5,4.0,1.25
673,6,4.0,1.5
674,9,4.0,2.25
675,6,4.0,1.5
676,5,4.0,1.25
677,8,4.0,2.0
678,5,4.0,1.25
679,4,4.0,1.0
680,8,4.0,2.0
681,8,4.0,2.0
682,5,4.0,1.25
683,5,3.0,1.6666666666666667
684,4,3.0,1.3333333333333333
685,6,3.0,2.0
686,3,3.0,1.0
687,5,4.0,1.25
688,9,3.0,3.0
689,6,4.0,1.5
690,6,4.0,1.5
691,5,4.0,1.25
692,7,4.0,1.75
693,7,4.0,1.75
694,15,4.0,3.75
695,5,4.0,1.25
696,7,4.0,1.75
697,5,4.0,1.25
698,6,4.0,1.5
699,5,4.0,1.25
700,5,4.0,1.25
701,4,4.0,1.0
702,4,4.0,1.0
703,4,4.0,1.0
704,8,4.0,2.0
705,6,4.0,1.5
706,5,4.0,1.25
707,8,4.0,2.0
708,5,4.0,1.25
709,4,4.0,1.0
710,8,4.0,2.0
711,5,4.0,1.25
712,5,4.0,1.25
713,2,2.0,1.0
714,4,4.0,1.0
715,6,4.0,1.5
716,4,4.0,1.0
717,5,4.0,1.25
718,6,4.0,1.5
719,6,5.0,1.2
720,5,5.0,1.0
721,10,5.0,2.0
722,6,5.0,1.2
723,6,5.0,1.2
724,11,5.0,2.2
725,6,3.0,2.0
726,8,3.0,2.6666666666666665
727,5,3.0,1.6666666666666667
728,8,3.0,2.6666666666666665
729,6,3.0,2.0
730,6,3.0,2.0
731,2,2.0,1.0
732,4,3.0,1.3333333333333333
733,4,3.0,1.3333333333333333
734,6,3.0,2.0
735,6,5.0,1.2
736,6,3.0,2.0
737,5,3.0,1.6666666666666667
738,4,3.0,1.3333333333333333
739,3,3.0,1.0
740,3,3.0,1.0
741,4,3.0,1.3333333333333333
742,3,3.0,1.0
743,4,3.0,1.3333333333333333
744,6,4.0,1.5
745,39,4.0,9.75
746,4,4.0,1.0
747,10,4.0,2.5
748,6,4.0,1.5
749,5,4.0,1.25
750,8,4.0,2.0
751,13,4.0,3.25
752,8,4.0,2.0
753,5,4.0,1.25
754,9,4.0,2.25
755,7,4.0,1.75
756,5,4.0,1.25
757,5,4.0,1.25
758,7,4.0,1.75
759,6,4.0,1.5
760,7,4.0,1.75
761,6,4.0,1.5
762,5,4.0,1.25
763,5,4.0,1.25
764,9,4.0,2.25
765,6,4.0,1.5
766,6,4.0,1.5
767,4,4.0,1.0
768,5,4.0,1.25
769,7,4.0,1.75
770,4,4.0,1.0
771,4,4.0,1.0
772,9,4.0,2.25
773,5,4.0,1.25
774,5,4.0,1.25
775,5,4.0,1.25
776,5,4.0,1.25
777,7,4.0,1.75
778,5,4.0,1.25
779,7,4.0,1.75
780,13,4.0,3.25
781,6,4.0,1.5
782,8,4.0,2.0
783,7,4.0,1.75
784,6,4.0,1.5
785,6,4.0,1.5
786,5,4.0,1.25
787,21,4.0,5.25
788,5,4.0,1.25
789,5,4.0,1.25
790,9,4.0,2.25
791,7,4.0,1.75
792,8,4.0,2.0
793,6,4.0,1.5
794,8,4.0,2.0
795,12,4.0,3.0
796,12,4.0,3.0
797,10,4.0,2.5
798,5,4.0,1.25
799,7,4.0,1.75
800,5,4.0,1.25
801,6,4.0,1.5
802,7,4.0,1.75
803,11,4.0,2.75
804,5,4.0,1.25
805,9,4.0,2.25
806,10,4.0,2.5
807,5,4.0,1.25
808,7,4.0,1.75
809,11,4.0,2.75
810,7,4.0,1.75
811,3,3.0,1.0
812,4,3.0,1.3333333333333333
813,7,5.0,1.4
814,8,5.0,1.6
815,5,4.0,1.25
816,9,4.0,2.25
817,18,4.0,4.5
818,5,4.0,1.25
819,21,4.0,5.25
820,4,3.0,1.3333333333333333
821,4,3.0,1.3333333333333333
822,8,4.0,2.0
823,7,4.0,1.75
824,4,4.0,1.0
825,7,4.0,1.75
826,5,4.0,1.25
827,7,4.0,1.75
828,5,4.0,1.25
829,5,4.0,1.25
830,4,4.0,1.0
831,6,4.0,1.5
832,9,4.0,2.25
833,16,5.0,3.2
834,4,4.0,1.0
835,7,5.0,1.4
836,7,5.0,1.4
837,7,5.0,1.4
838,6,5.0,1.2
839,7,5.0,1.4
840,6,5.0,1.2
841,6,5.0,1.2
842,6,5.0,1.2
843,6,4.0,1.5
844,5,4.0,1.25
845,4,4.0,1.0
846,5,4.0,1.25
847,5,4.0,1.25
848,6,4.0,1.5
849,7,4.0,1.75
850,5,3.0,1.6666666666666667
851,5,3.0,1.6666666666666667
852,8,3.0,2.6666666666666665
853,5,3.0,1.6666666666666667
854,5,3.0,1.6666666666666667
855,5,3.0,1.6666666666666667
856,5,3.0,1.6666666666666667
857,5,3.0,1.6666666666666667
858,5,3.0,1.6666666666666667
859,8,4.0,2.0
860,5,4.0,1.25
861,5,4.0,1.25
862,5,3.0,1.6666666666666667
863,4,3.0,1.3333333333333333
864,6,4.0,1.5
865,4,3.0,1.3333333333333333
866,4,4.0,1.0
867,8,4.0,2.0
868,5,4.0,1.25
869,5,3.0,1.6666666666666667
870,4,3.0,1.3333333333333333
871,3,3.0,1.0
872,5,3.0,1.6666666666666667
873,7,3.0,2.3333333333333335
874,6,3.0,2.0
875,5,3.0,1.6666666666666667
876,4,3.0,1.3333333333333333
877,4,4.0,1.0
878,6,5.0,1.2
879,5,5.0,1.0
880,8,4.0,2.0
881,5,4.0,1.25
882,5,4.0,1.25
883,5,4.0,1.25
884,5,4.0,1.25
885,4,4.0,1.0
886,4,4.0,1.0
887,5,4.0,1.25
888,5,4.0,1.25
889,10,3.0,3.3333333333333335
890,5,3.0,1.6666666666666667
891,7,3.0,2.3333333333333335
892,60,3.0,20.0
893,8,3.0,2.6666666666666665
894,8,3.0,2.6666666666666665
895,6,3.0,2.0
896,6,3.0,2.0
897,6,3.0,2.0
898,7,3.0,2.3333333333333335
899,10,3.0,3.3333333333333335
900,8,3.0,2.6666666666666665
901,6,3.0,2.0
902,6,3.0,2.0
903,6,3.0,2.0
904,4,3.0,1.3333333333333333
905,10,3.0,3.3333333333333335
906,4,3.0,1.3333333333333333
907,4,3.0,1.3333333333333333
908,8,3.0,2.6666666666666665
909,12,3.0,4.0
910,6,3.0,2.0
911,8,3.0,2.6666666666666665
912,9,3.0,3.0
913,7,3.0,2.3333333333333335
914,18,3.0,6.0
915,7,3.0,2.3333333333333335
916,7,3.0,2.3333333333333335
917,6,3.0,2.0
918,7,3.0,2.3333333333333335
919,6,3.0,2.0
920,6,3.0,2.0
921,17,4.0,4.25
922,4,4.0,1.0
923,11,4.0,2.75
924,9,4.0,2.25
925,8,4.0,2.0
926,3,3.0,1.0
927,10,5.0,2.0
928,6,5.0,1.2
929,7,5.0,1.4
930,6,5.0,1.2
931,8,5.0,1.6
932,7,5.0,1.4
933,9,5.0,1.8
934,8,5.0,1.6
935,6,5.0,1.2
936,8,5.0,1.6
937,12,6.0,2.0
938,9,6.0,1.5
939,4,4.0,1.0
940,12,4.0,3.0
941,6,5.0,1.2
942,11,5.0,2.2
943,6,5.0,1.2
944,8,5.0,1.6
945,7,5.0,1.4
946,5,5.0,1.0
947,5,5.0,1.0
948,7,5.0,1.4
949,8,5.0,1.6
950,6,5.0,1.2
951,6,5.0,1.2
952,7,5.0,1.4
953,8,5.0,1.6
954,11,5.0,2.2
955,8,5.0,1.6
956,6,5.0,1.2
957,9,5.0,1.8
958,10,5.0,2.0
959,7,5.0,1.4
960,3,2.0,1.5
961,4,3.0,1.3333333333333333
962,7,3.0,2.3333333333333335
963,4,4.0,1.0
964,7,4.0,1.75
965,4,4.0,1.0
966,5,4.0,1.25
967,6,4.0,1.5
968,6,4.0,1.5
969,4,2.0,2.0
970,4,3.0,1.3333333333333333
971,4,4.0,1.0
972,7,4.0,1.75
973,2,2.0,1.0
974,13,5.0,2.6
975,10,4.0,2.5
976,3,3.0,1.0
977,6,4.0,1.5
978,7,4.0,1.75
979,6,4.0,1.5
980,5,3.0,1.6666666666666667
981,5,3.0,1.6666666666666667
982,9,3.0,3.0
983,5,3.0,1.6666666666666667
984,11,4.0,2.75
985,17,4.0,4.25
986,8,4.0,2.0
987,6,3.0,2.0
988,4,4.0,1.0
989,9,5.0,1.8
990,6,4.0,1.5
991,7,4.0,1.75
992,7,4.0,1.75
993,5,4.0,1.25
994,4,4.0,1.0
995,4,3.0,1.3333333333333333
996,6,4.0,1.5
997,5,4.0,1.25
998,6,4.0,1.5
999,4,4.0,1.0
1000,4,4.0,1.0
1001,4,4.0,1.0
1002,4,4.0,1.0
1003,4,4.0,1.0
1004,4,4.0,1.0
1005,8,4.0,2.0
1006,7,4.0,1.75
1007,4,4.0,1.0
1008,8,4.0,2.0
1009,8,4.0,2.0
1010,2,2.0,1.0
1011,6,4.0,1.5
1012,7,4.0,1.75
1013,5,4.0,1.25
1014,4,4.0,1.0
1015,6,4.0,1.5
1016,7,3.0,2.3333333333333335
1017,4,3.0,1.3333333333333333
1018,6,3.0,2.0
1019,10,3.0,3.3333333333333335
1020,5,4.0,1.25
1021,5,4.0,1.25
1022,4,4.0,1.0
1023,5,4.0,1.25
1024,5,3.0,1.6666666666666667
1025,4,3.0,1.3333333333333333
1026,9,5.0,1.8
1027,3,3.0,1.0
1028,4,4.0,1.0
1029,5,3.0,1.6666666666666667
1030,4,3.0,1.3333333333333333
1031,4,3.0,1.3333333333333333
1032,5,4.0,1.25
1033,5,3.0,1.6666666666666667
1034,5,3.0,1.6666666666666667
1035,6,3.0,2.0
1036,7,3.0,2.3333333333333335
1037,4,3.0,1.3333333333333333
1038,5,3.0,1.6666666666666667
1039,8,3.0,2.6666666666666665
1040,7,3.0,2.3333333333333335
1041,8,3.0,2.6666666666666665
1042,6,3.0,2.0
1043,4,3.0,1.3333333333333333
1044,8,3.0,2.6666666666666665
1045,4,3.0,1.3333333333333333
1046,5,4.0,1.25
1047,4,4.0,1.0
1048,5,4.0,1.25
1049,4,4.0,1.0
1050,4,4.0,1.0
1051,7,5.0,1.4
1052,6,4.0,1.5
1053,4,4.0,1.0
1054,4,3.0,1.3333333333333333
1055,11,3.0,3.6666666666666665
1056,8,3.0,2.6666666666666665
